ExE(keV)	bu1	bu2	bu3	bu1bu2	bu2bu3	bu1bu3	all
3015.0	13.57	4.258	15.975	17.559	15.363	24.147	4.158
3020.0	13.572	4.332	16.018	17.802	15.147	23.954	4.125
3025.0	13.638	4.381	16.294	17.473	15.239	23.725	4.189
3030.0	13.733	4.444	16.012	17.64	15.211	23.987	4.069
3035.0	13.856	4.33	15.939	17.674	15.14	24.007	4.065
3040.0	13.815	4.437	16.081	17.424	15.578	23.545	4.066
3045.0	13.839	4.572	15.924	17.371	15.444	23.736	4.114
3050.0	13.569	4.452	16.234	17.423	15.514	23.756	3.975
3055.0	13.755	4.433	15.917	17.704	15.253	23.725	4.074
3060.0	13.66	4.401	16.178	17.596	15.55	23.825	3.852
3065.0	13.794	4.477	16.233	17.362	15.28	23.817	3.966
3070.0	13.993	4.431	16.162	17.37	15.452	23.633	3.905
3075.0	13.926	4.414	16.335	17.247	15.323	23.65	3.962
3080.0	13.9	4.474	16.178	17.443	15.593	23.407	3.82
3085.0	13.946	4.445	16.167	17.398	15.602	23.411	3.865
3090.0	14.165	4.333	16.149	17.413	15.367	23.522	3.915
3095.0	14.023	4.589	16.306	17.403	15.381	23.314	3.905
3100.0	14.253	4.481	16.305	17.685	15.429	23.109	3.632
3105.0	14.111	4.483	16.321	17.549	15.276	23.246	3.788
3110.0	14.102	4.432	16.469	17.553	15.53	23.079	3.679
3115.0	14.237	4.456	16.133	17.583	15.454	23.283	3.573
3120.0	14.1	4.47	16.477	17.422	15.623	23.067	3.654
3125.0	14.096	4.421	16.256	17.411	15.566	23.252	3.677
3130.0	14.064	4.444	16.546	17.161	15.742	23.15	3.582
3135.0	14.27	4.31	16.577	17.359	15.563	23.18	3.612
3140.0	14.345	4.486	16.246	17.426	15.591	23.18	3.543
3145.0	14.242	4.569	16.508	17.439	15.698	22.756	3.513
3150.0	14.328	4.431	16.625	17.395	15.69	22.872	3.59
3155.0	14.471	4.544	16.494	17.436	15.635	22.713	3.529
3160.0	14.268	4.662	16.231	17.493	15.771	22.783	3.531
3165.0	14.22	4.639	16.387	17.286	15.85	22.817	3.562
3170.0	14.364	4.484	16.551	17.406	15.712	22.784	3.51
3175.0	14.501	4.529	16.514	17.408	15.738	22.702	3.409
3180.0	14.343	4.567	16.785	17.243	15.948	22.652	3.283
3185.0	14.443	4.542	16.451	17.718	15.891	22.37	3.335
3190.0	14.429	4.676	16.76	17.153	15.999	22.36	3.311
3195.0	14.622	4.577	16.632	17.337	15.911	22.406	3.304
3200.0	14.66	4.576	16.728	17.302	15.624	22.592	3.207
3205.0	14.615	4.546	16.536	17.083	15.924	22.579	3.344
3210.0	14.486	4.535	16.672	17.492	15.735	22.487	3.213
3215.0	14.456	4.602	16.763	17.274	16.043	22.202	3.263
3220.0	14.745	4.678	16.801	17.428	15.904	22.029	3.222
3225.0	14.55	4.662	16.783	17.229	15.946	22.281	3.151
3230.0	14.634	4.706	16.809	17.407	15.888	22.134	3.108
3235.0	14.651	4.624	16.731	17.06	16.138	22.224	3.123
3240.0	14.574	4.595	16.601	17.509	16.047	22.214	3.166
3245.0	14.581	4.645	16.919	17.208	15.969	22.185	3.033
3250.0	14.507	4.582	16.843	17.31	16.182	22.09	3.003
3255.0	14.791	4.601	16.762	17.395	16.224	21.974	3.038
3260.0	14.687	4.703	16.877	17.095	16.109	22.132	3.032
3265.0	14.828	4.569	16.8	17.498	16.037	21.927	3.019
3270.0	14.92	4.555	16.95	17.286	16.071	21.867	2.968
3275.0	14.565	4.789	17.061	17.23	16.271	21.809	2.857
3280.0	14.785	4.652	16.756	17.339	16.084	21.975	2.979
3285.0	14.831	4.655	17.078	17.25	16.021	21.72	2.992
3290.0	14.979	4.618	17.056	17.304	16.245	21.548	2.849
3295.0	14.854	4.71	17.205	17.269	16.169	21.475	2.935
3300.0	14.895	4.616	17.167	17.528	15.726	21.689	2.88
3305.0	15.01	4.837	17.042	17.169	16.119	21.549	2.82
3310.0	14.984	4.813	17.095	17.226	16.061	21.565	2.777
3315.0	15.021	4.701	17.022	17.253	16.202	21.533	2.787
3320.0	15.199	4.663	17.039	16.962	16.161	21.679	2.821
3325.0	15.226	4.741	17.032	17.161	16.031	21.448	2.798
3330.0	14.944	4.876	17.062	17.13	16.267	21.303	2.797
3335.0	15.147	4.766	17.035	17.414	16.138	21.294	2.789
3340.0	15.109	4.85	17.035	17.272	16.159	21.272	2.749
3345.0	15.225	4.724	17.088	17.063	16.167	21.333	2.678
3350.0	15.274	4.724	17.153	17.284	16.23	21.178	2.805
3355.0	15.118	4.747	17.142	17.209	16.355	21.276	2.59
3360.0	15.143	4.84	17.219	17.218	16.277	21.166	2.658
3365.0	15.231	4.815	17.168	17.283	16.43	21.054	2.47
3370.0	15.319	4.841	17.2	17.03	16.158	21.381	2.616
3375.0	15.218	4.82	17.182	17.135	16.507	21.044	2.543
3380.0	15.321	4.756	17.211	17.264	16.167	20.97	2.596
3385.0	15.343	4.913	17.413	17.173	16.276	20.868	2.572
3390.0	15.422	4.85	17.305	17.165	16.301	20.826	2.569
3395.0	15.379	4.927	17.181	17.201	16.656	20.605	2.494
3400.0	15.374	4.798	17.37	17.347	16.205	20.887	2.542
3405.0	15.345	4.949	17.459	17.069	16.307	20.637	2.529
3410.0	15.367	4.776	17.461	17.388	16.131	20.8	2.429
3415.0	15.32	4.854	17.386	17.139	16.458	20.682	2.522
3420.0	15.467	4.884	17.438	17.199	16.244	20.783	2.382
3425.0	15.476	4.935	17.284	17.229	16.454	20.61	2.366
3430.0	15.649	4.788	17.573	17.031	16.524	20.368	2.465
3435.0	15.461	4.869	17.149	17.019	16.661	20.768	2.387
3440.0	15.674	4.851	17.625	17.19	16.365	20.35	2.37
3445.0	15.871	4.905	17.36	17.07	16.527	20.335	2.375
3450.0	15.677	4.793	17.37	17.094	16.522	20.48	2.382
3455.0	15.68	4.917	17.496	17.05	16.594	20.185	2.362
3460.0	15.417	4.851	17.629	17.117	16.742	20.182	2.371
3465.0	15.716	4.901	17.475	16.954	16.439	20.6	2.21
3470.0	15.989	4.8	17.357	16.977	16.468	20.428	2.231
3475.0	15.851	4.87	17.718	17.02	16.54	19.998	2.289
3480.0	15.929	4.962	17.599	17.086	16.316	20.016	2.315
3485.0	15.851	4.965	17.469	16.888	16.58	20.286	2.248
3490.0	15.905	4.858	17.615	17.09	16.702	19.901	2.215
3495.0	15.956	5.053	17.462	16.91	16.773	20.073	2.171
3500.0	15.995	4.796	17.675	16.996	16.597	20.085	2.185
3505.0	15.887	4.963	17.703	17.078	16.78	19.842	2.102
3510.0	15.783	4.898	17.668	16.854	16.858	20.02	2.132
3515.0	16.092	4.877	17.786	17.2	16.423	19.999	2.115
3520.0	15.878	5.084	17.733	17.132	16.495	19.824	2.11
3525.0	16.108	5.095	17.768	16.916	16.634	19.583	2.093
3530.0	16.062	4.998	17.788	17.18	16.543	19.739	2.017
3535.0	15.968	5.075	17.763	17.019	16.678	19.954	2.041
3540.0	16.115	5.074	17.868	16.8	16.652	19.824	2.019
3545.0	16.185	5.006	17.669	16.851	16.612	19.784	2.052
3550.0	15.926	5.076	17.738	17.018	16.82	19.553	1.957
3555.0	16.158	5.02	17.786	16.975	16.627	19.666	2.03
3560.0	16.228	5.081	17.997	16.836	16.498	19.583	1.968
3565.0	16.181	4.984	17.827	16.842	16.851	19.726	1.855
3570.0	16.326	5.049	17.853	17.01	16.546	19.437	1.985
3575.0	16.423	5.048	18.054	16.753	16.785	19.369	1.916
3580.0	16.387	5.153	17.663	16.976	16.663	19.335	1.962
3585.0	16.369	5.026	17.944	16.728	16.821	19.297	1.933
3590.0	16.436	5.191	17.729	16.975	16.624	19.296	1.921
3595.0	16.291	5.109	18.002	16.914	16.62	19.436	1.871
3600.0	16.143	5.204	17.958	16.84	16.945	19.158	1.863
3605.0	16.221	5.068	17.888	17.061	16.853	19.148	1.856
3610.0	16.346	5.186	17.987	16.781	16.761	19.162	1.932
